585	ENST00000456328.2	chr1	+	11868	14409	11868	11868	3	11868,12612,13220,	12227,12721,14409,	0	DDX11L1	none	none	-1,-1,-1,
585	ENST00000473358.1	chr1	+	29553	31097	29553	29553	3	29553,30563,30975,	30039,30667,31097,	0	MIR1302-2	none	none	-1,-1,-1,
585	ENST00000417324.1	chr1	-	34553	36081	34553	34553	3	34553,35276,35720,	35174,35481,36081,	0	FAM138A	none	none	-1,-1,-1,
585	ENST00000594647.1	chr1	+	53048	54936	53048	54936	2	53048,54829,	53067,54936,	0	AL627309.2	incmpl	cmpl	0,1,
585	ENST00000335137.3	chr1	+	69090	70008	69090	70008	1	69090,	70008,	0	OR4F5	cmpl	cmpl	0,
585	ENST00000466430.1	chr1	-	89294	120932	89294	89294	4	89294,92090,112699,120774,	91629,92240,112804,120932,	0	RP11-34P13.7	none	none	-1,-1,-1,-1,
585	ENST00000495576.1	chr1	-	89550	91105	89550	89550	2	89550,90286,	90050,91105,	0	RP11-34P13.8	none	none	-1,-1,
586	ENST00000423372.3	chr1	-	134900	139379	138529	139309	2	134900,137620,	135802,139379,	0	AL627309.1	cmpl	incmpl	-1,0,
586	ENST00000493797.1	chr1	-	139789	140339	139789	139789	2	139789,140074,	139847,140339,	0	RP11-34P13.14	none	none	-1,-1,
586	ENST00000484859.1	chr1	-	141473	149707	141473	141473	2	141473,146385,	143011,149707,	0	RP11-34P13.13	none	none	-1,-1,
586	ENST00000490997.1	chr1	-	142807	146831	142807	142807	3	142807,146385,146641,	143011,146509,146831,	0	RP11-34P13.13	none	none	-1,-1,-1,
586	ENST00000410691.1	chr1	-	157783	157887	157783	157783	1	157783,	157887,	0	U6	none	none	-1,
586	ENST00000496488.1	chr1	+	160445	161525	160445	160445	2	160445,161313,	160690,161525,	0	RP11-34P13.9	none	none	-1,-1,
73	ENST00000424587.2	chr1	-	236111	267253	236111	236111	4	236111,238417,259016,267095,	237955,238567,259121,267253,	0	AP006222.2	none	none	-1,-1,-1,-1,
587	ENST00000425496.2	chr1	+	324755	328453	324755	324755	2	324755,327551,	326514,328453,	0	RP4-669L17.10	none	none	-1,-1,
587	ENST00000426406.1	chr1	+	367639	368634	367658	368597	1	367639,	368634,	0	OR4F29	cmpl	cmpl	0,
588	ENST00000450983.1	chr1	-	453632	460480	453632	453632	2	453632,460407,	454166,460480,	0	RP4-669L17.2	none	none	-1,-1,
